Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 75, 98.684
Brute Force:FTP-Patator, 1, 25, 0, 0.000
Brute Force:SSH-Patator, 2, 256, 256, 100.000
DDoS:LOIT, 3, 9450, 9447, 99.968
DoS / DDoS:DoS GoldenEye, 4, 747, 745, 99.732
DoS / DDoS:DoS Hulk, 5, 23394, 23383, 99.953
DoS / DDoS:DoS Slowhttptest, 6, 422, 420, 99.526
DoS / DDoS:DoS slowloris, 7, 390, 381, 97.692
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7637, 6837, 89.525
Normal, 10, 172927, 172193, 99.576
PortScan:PortScan - Firewall off, 11, 15992, 15895, 99.393
PortScan:PortScan - Firewall on, 12, 38, 27, 71.053
Web Attack:Sql Injection, 13, 2, 0, 0.000
Web Attack:XSS, 14, 68, 51, 75.000
Benign, 10, 172927, 172193, 99.576%
Attack, !10, 58497, 57517, 98.325%
Overall, ALL, 231424, 229710, 99.259%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
