Class, #, Occurance, Right, OBSCURE
Analysis, 0, 54, 32, 59.259%
Backdoors, 1, 39, 30, 76.923%
DoS, 2, 394, 320, 81.218%
Exploits, 3, 2908, 2591, 89.099%
Fuzzers, 4, 2073, 1600, 77.183%
Generic, 5, 426, 375, 88.028%
Normal, 6, 197546, 195022, 98.722%
Reconnaissance, 7, 1188, 1107, 93.182%
Shellcode, 8, 154, 135, 87.662%
Worms, 9, 18, 16, 88.889%

Benign, 6, 197546, 195022, 98.722%
Attack, !6, 7254, 6206, 85.553%
Overall, ALL, 204800, 201228, 98.256%
