Epochs Supervised, 50
Proxy task, ID
Training percentage, 10.00 %
Specialized subset, 

\textbf{Training metrics},
Best epoch, 25
Time to best epoch, 0h 44m

\textbf{Performance metrics},
Accuracy, 98.740 %
Detection rate, 80.342 %
Precision, 83.460 %
Specificity, 99.415 %
F1-Measure, 81.871 %
False alarm rate, 16.540 %
Missed alarm rate, 19.658 %
