Epochs Supervised, 200
Proxy task, AUTO
Training percentage, 1.00 %
Specialized subset, 

Training metrics,
Best epoch, 173
Time to best epoch, 1h 14m

Performance metrics,
Accuracy, 99.378 %
Detection rate, 98.192 %
Precision, 99.339 %
Specificity, 99.779 %
F1-Measure, 98.762 %
False alarm rate, 0.661 %
Missed alarm rate, 1.808 %
