Class, Alias, Occurance, Right, Accuracy
Analysis, 0, 54, 24, 44.444
Backdoors, 1, 40, 23, 57.500
DoS, 2, 397, 293, 73.804
Exploits, 3, 2927, 2505, 85.583
Fuzzers, 4, 2085, 1066, 51.127
Generic, 5, 431, 360, 83.527
Normal, 6, 199160, 197610, 99.222
Reconnaissance, 7, 1197, 574, 47.953
Shellcode, 8, 155, 96, 61.935
Worms, 9, 18, 14, 77.778
Benign, 6, 199160, 197610, 99.222%
Attack, !6, 7304, 4955, 67.840%
Overall, ALL, 206464, 202565, 98.112%

Samples, 206464
Benign, 96.46%
Attack, 3.54%
