Class, #, Occurance, Right, NONE
Analysis, 0, 53, 23, 43.396%
Backdoors, 1, 40, 32, 80.000%
DoS, 2, 391, 306, 78.261%
Exploits, 3, 2912, 2546, 87.431%
Fuzzers, 4, 2066, 1232, 59.632%
Generic, 5, 424, 340, 80.189%
Normal, 6, 197553, 195615, 99.019%
Reconnaissance, 7, 1190, 1095, 92.017%
Shellcode, 8, 152, 125, 82.237%
Worms, 9, 19, 15, 78.947%

Benign, 6, 197553, 195615, 99.019%
Attack, !6, 7247, 5714, 78.846%
Overall, ALL, 204800, 201329, 98.305%
