Proxy task, AUTO
Epochs Supervised, 200
Training percentage, 1.00 %
Specialized subset, 

Training metrics,
Best epoch, 197
Time to best epoch, 1h 2m

Performance metrics,
Accuracy, 98.331 %
Detection rate, 82.106 %
Precision, 73.749 %
Specificity, 98.927 %
F1-Measure, 77.704 %
False alarm rate, 26.251 %
Missed alarm rate, 17.894 %
