Class, #, Occurance, Right, OBSCURE
Analysis, 0, 53, 34, 64.151%
Backdoors, 1, 40, 29, 72.500%
DoS, 2, 394, 309, 78.426%
Exploits, 3, 2909, 2609, 89.687%
Fuzzers, 4, 2069, 1353, 65.394%
Generic, 5, 428, 363, 84.813%
Normal, 6, 197548, 195522, 98.974%
Reconnaissance, 7, 1189, 1073, 90.244%
Shellcode, 8, 152, 109, 71.711%
Worms, 9, 18, 15, 83.333%

Benign, 6, 197548, 195522, 98.974%
Attack, !6, 7252, 5894, 81.274%
Overall, ALL, 204800, 201416, 98.348%
