Epochs Supervised, 50
Proxy task, COMPOSITE
Training percentage, 10.00 %
Specialized subset, 

Training metrics,
Best epoch, 47
Time to best epoch, 3h 13m

Performance metrics,
Accuracy, 99.733 %
Detection rate, 99.171 %
Precision, 99.771 %
Specificity, 99.923 %
F1-Measure, 99.470 %
False alarm rate, 0.229 %
Missed alarm rate, 0.829 %
