Epochs Supervised, 50
Proxy task, AUTO
Training percentage, 10.00 %
Specialized subset, 

Training metrics,
Best epoch, 46
Time to best epoch, 1h 59m

Performance metrics,
Accuracy, 99.630 %
Detection rate, 98.871 %
Precision, 99.663 %
Specificity, 99.887 %
F1-Measure, 99.265 %
False alarm rate, 0.337 %
Missed alarm rate, 1.129 %
