0, 0.944184
1, 0.577097
2, 0.428593
3, 0.377161
4, 0.263477
5, 0.228193
6, 0.211251
7, 0.199164
8, 0.187844
9, 0.178335
10, 0.171657
11, 0.166484
12, 0.162119
13, 0.158070
14, 0.154221
15, 0.150831
16, 0.147602
17, 0.144606
18, 0.141786
19, 0.139248
20, 0.136702
21, 0.134511
22, 0.132151
23, 0.130101
24, 0.128052
25, 0.126164
26, 0.124365
27, 0.122560
28, 0.120582
29, 0.118768
30, 0.116920
31, 0.115042
32, 0.113112
33, 0.110646
34, 0.108034
35, 0.103636
36, 0.099298
37, 0.095996
38, 0.091848
39, 0.088665
40, 0.085659
41, 0.083602
42, 0.081708
43, 0.079743
44, 0.077546
45, 0.075538
46, 0.074021
47, 0.072910
48, 0.071941
49, 0.070982
