Class, #, Occurance, Right, AUTO
Analysis, 0, 51, 51, 100.000%
Backdoors, 1, 40, 33, 82.500%
DoS, 2, 393, 359, 91.349%
Exploits, 3, 2897, 2680, 92.509%
Fuzzers, 4, 2067, 1827, 88.389%
Generic, 5, 428, 407, 95.093%
Normal, 6, 197565, 194271, 98.333%
Reconnaissance, 7, 1185, 868, 73.249%
Shellcode, 8, 155, 147, 94.839%
Worms, 9, 19, 19, 100.000%

Benign, 6, 197565, 194271, 98.333%
Attack, !6, 7235, 6391, 88.334%
Overall, ALL, 204800, 200662, 97.979%
