Class, #, Occurance, Right, AUTO
Analysis, 0, 52, 52, 100.000%
Backdoors, 1, 40, 35, 87.500%
DoS, 2, 394, 368, 93.401%
Exploits, 3, 2905, 2807, 96.627%
Fuzzers, 4, 2064, 1790, 86.725%
Generic, 5, 425, 402, 94.588%
Normal, 6, 197553, 194305, 98.356%
Reconnaissance, 7, 1193, 710, 59.514%
Shellcode, 8, 155, 154, 99.355%
Worms, 9, 19, 19, 100.000%

Benign, 6, 197553, 194305, 98.356%
Attack, !6, 7247, 6337, 87.443%
Overall, ALL, 204800, 200642, 97.970%
