0, 0.038621
1, 0.015385
2, 0.013864
3, 0.013727
4, 0.013803
5, 0.013267
6, 0.013328
7, 0.013050
8, 0.012831
9, 0.012664
10, 0.012304
11, 0.010846
12, 0.010128
13, 0.009731
14, 0.009817
15, 0.009895
16, 0.009633
17, 0.009430
18, 0.009496
19, 0.009494
20, 0.009290
21, 0.008981
22, 0.009405
23, 0.008925
24, 0.008998
25, 0.009334
26, 0.008761
27, 0.009339
28, 0.008822
29, 0.008806
30, 0.008752
31, 0.009176
32, 0.008509
33, 0.008721
34, 0.008488
35, 0.008248
36, 0.008663
37, 0.007940
38, 0.007943
39, 0.007940
40, 0.007735
41, 0.007561
42, 0.007653
43, 0.007426
44, 0.007538
45, 0.007125
46, 0.007286
47, 0.007052
48, 0.006885
49, 0.007224
