Class, Alias, Occurance, Right, Accuracy
Analysis, 0, 53, 13, 24.528%
Backdoors, 1, 38, 37, 97.368%
DoS, 2, 390, 332, 85.128%
Exploits, 3, 2906, 2749, 94.597%
Fuzzers, 4, 2069, 1151, 55.631%
Generic, 5, 424, 397, 93.632%
Normal, 6, 197558, 196124, 99.274%
Reconnaissance, 7, 1190, 1160, 97.479%
Shellcode, 8, 153, 120, 78.431%
Worms, 9, 19, 19, 100.000%

Benign, 6, 197558, 196124, 99.274%
Attack, !6, 7242, 5978, 82.546%
Overall, ALL, 204800, 202102, 98.683%
