Class, #, Occurance, Right, AUTO
Analysis, 0, 54, 16, 29.630%
Backdoors, 1, 39, 24, 61.538%
DoS, 2, 394, 291, 73.858%
Exploits, 3, 2908, 2544, 87.483%
Fuzzers, 4, 2073, 1427, 68.837%
Generic, 5, 426, 385, 90.376%
Normal, 6, 197546, 195426, 98.927%
Reconnaissance, 7, 1188, 1100, 92.593%
Shellcode, 8, 154, 151, 98.052%
Worms, 9, 18, 18, 100.000%

Benign, 6, 197546, 195426, 98.927%
Attack, !6, 7254, 5956, 82.106%
Overall, ALL, 204800, 201382, 98.331%
