Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 74, 69, 93.243%
Brute Force:FTP-Patator, 1, 25, 16, 64.000%
Brute Force:SSH-Patator, 2, 251, 249, 99.203%
DDoS:LOIT, 3, 9361, 9360, 99.989%
DoS / DDoS:DoS GoldenEye, 4, 739, 739, 100.000%
DoS / DDoS:DoS Hulk, 5, 23210, 23210, 100.000%
DoS / DDoS:DoS Slowhttptest, 6, 417, 416, 99.760%
DoS / DDoS:DoS slowloris, 7, 390, 390, 100.000%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7569, 7152, 94.491%
Normal, 10, 171384, 171247, 99.920%
PortScan:PortScan - Firewall off, 11, 15849, 15713, 99.142%
PortScan:PortScan - Firewall on, 12, 38, 28, 73.684%
Web Attack:Sql Injection, 13, 1, 0, 0.000%
Web Attack:XSS, 14, 68, 3, 4.412%

Benign, 10, 171384, 171247, 99.920%
Attack, !10, 57992, 57345, 98.884%
Overall, ALL, 229376, 228592, 99.658%
