Class, #, Occurance, Right, PREDICT
Analysis, 0, 52, 20, 38.462%
Backdoors, 1, 40, 35, 87.500%
DoS, 2, 393, 326, 82.952%
Exploits, 3, 2893, 2721, 94.055%
Fuzzers, 4, 2072, 1053, 50.820%
Generic, 5, 425, 381, 89.647%
Normal, 6, 197568, 196411, 99.414%
Reconnaissance, 7, 1184, 1126, 95.101%
Shellcode, 8, 155, 122, 78.710%
Worms, 9, 18, 18, 100.000%

Benign, 6, 197568, 196411, 99.414%
Attack, !6, 7232, 5802, 80.227%
Overall, ALL, 204800, 202213, 98.737%
