Class, #, Occurance, Right, AUTO
Analysis, 0, 52, 45, 86.538%
Backdoors, 1, 39, 28, 71.795%
DoS, 2, 396, 311, 78.535%
Exploits, 3, 2899, 2399, 82.753%
Fuzzers, 4, 2070, 903, 43.623%
Generic, 5, 427, 351, 82.201%
Normal, 6, 197554, 195306, 98.862%
Reconnaissance, 7, 1192, 937, 78.607%
Shellcode, 8, 153, 96, 62.745%
Worms, 9, 18, 16, 88.889%

Benign, 6, 197554, 195306, 98.862%
Attack, !6, 7246, 5086, 70.190%
Overall, ALL, 204800, 200392, 97.848%
