Class, #, Occurance, Right, ID
Analysis, 0, 53, 43, 81.132%
Backdoors, 1, 39, 29, 74.359%
DoS, 2, 393, 301, 76.590%
Exploits, 3, 2904, 2397, 82.541%
Fuzzers, 4, 2070, 1316, 63.575%
Generic, 5, 424, 280, 66.038%
Normal, 6, 197559, 194962, 98.685%
Reconnaissance, 7, 1187, 664, 55.939%
Shellcode, 8, 152, 70, 46.053%
Worms, 9, 19, 15, 78.947%

Benign, 6, 197559, 194962, 98.685%
Attack, !6, 7241, 5115, 70.639%
Overall, ALL, 204800, 200077, 97.694%
