Class, Alias, Occurance, Right, Accuracy
Analysis, 0, 53, 25, 47.170
Backdoors, 1, 40, 31, 77.500
DoS, 2, 397, 314, 79.093
Exploits, 3, 2929, 2530, 86.378
Fuzzers, 4, 2084, 1262, 60.557
Generic, 5, 430, 353, 82.093
Normal, 6, 199160, 197132, 98.982
Reconnaissance, 7, 1197, 1071, 89.474
Shellcode, 8, 155, 122, 78.710
Worms, 9, 19, 12, 63.158
Benign, 6, 199160, 197132, 98.982%
Attack, !6, 7304, 5720, 78.313%
Overall, ALL, 206464, 202852, 98.251%

Samples, 206464
Benign, 96.46%
Attack, 3.54%
