Class, Alias, Occurance, Right, Accuracy
Analysis, 0, 54, 26, 48.148
Backdoors, 1, 40, 22, 55.000
DoS, 2, 397, 311, 78.338
Exploits, 3, 2927, 2568, 87.735
Fuzzers, 4, 2085, 1188, 56.978
Generic, 5, 431, 368, 85.383
Normal, 6, 199160, 197300, 99.066
Reconnaissance, 7, 1197, 1064, 88.889
Shellcode, 8, 155, 109, 70.323
Worms, 9, 18, 16, 88.889
Benign, 6, 199160, 197300, 99.066%
Attack, !6, 7304, 5672, 77.656%
Overall, ALL, 206464, 202972, 98.309%

Samples, 206464
Benign, 96.46%
Attack, 3.54%
