0, 0.130140
1, 0.073095
2, 0.067949
3, 0.065340
4, 0.063860
5, 0.061539
6, 0.060326
7, 0.059097
8, 0.058230
9, 0.057382
10, 0.051228
11, 0.041915
12, 0.040724
13, 0.040959
14, 0.039194
15, 0.041025
16, 0.039310
17, 0.036744
18, 0.035507
19, 0.037321
20, 0.032935
21, 0.033439
22, 0.033890
23, 0.033524
24, 0.032210
25, 0.031036
26, 0.032380
27, 0.031070
28, 0.034622
29, 0.031661
30, 0.032296
31, 0.033329
32, 0.026342
33, 0.025528
34, 0.025246
35, 0.025110
36, 0.024975
37, 0.024684
38, 0.024629
39, 0.024808
40, 0.024499
41, 0.024424
42, 0.023963
43, 0.024473
44, 0.024216
45, 0.024088
46, 0.024126
47, 0.023905
48, 0.024138
49, 0.023698
