Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 72, 94.737%
Brute Force:FTP-Patator, 1, 26, 14, 53.846%
Brute Force:SSH-Patator, 2, 252, 250, 99.206%
DDoS:LOIT, 3, 9347, 9347, 100.000%
DoS / DDoS:DoS GoldenEye, 4, 745, 745, 100.000%
DoS / DDoS:DoS Hulk, 5, 23186, 23185, 99.996%
DoS / DDoS:DoS Slowhttptest, 6, 418, 415, 99.282%
DoS / DDoS:DoS slowloris, 7, 385, 384, 99.740%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7580, 7091, 93.549%
Normal, 10, 171413, 171192, 99.871%
PortScan:PortScan - Firewall off, 11, 15842, 15712, 99.179%
PortScan:PortScan - Firewall on, 12, 37, 32, 86.486%
Web Attack:Sql Injection, 13, 1, 1, 100.000%
Web Attack:XSS, 14, 68, 64, 94.118%

Benign, 10, 171413, 171192, 99.871%
Attack, !10, 57963, 57312, 98.877%
Overall, ALL, 229376, 228504, 99.620%
