Class, #, Occurance, Right, PREDICT
Analysis, 0, 53, 38, 71.698%
Backdoors, 1, 39, 26, 66.667%
DoS, 2, 395, 287, 72.658%
Exploits, 3, 2901, 2347, 80.903%
Fuzzers, 4, 2072, 698, 33.687%
Generic, 5, 424, 317, 74.764%
Normal, 6, 197554, 195824, 99.124%
Reconnaissance, 7, 1189, 516, 43.398%
Shellcode, 8, 154, 83, 53.896%
Worms, 9, 19, 13, 68.421%

Benign, 6, 197554, 195824, 99.124%
Attack, !6, 7246, 4325, 59.688%
Overall, ALL, 204800, 200149, 97.729%
