Class, #, Occurance, Right, COMPOSITE
Analysis, 0, 51, 38, 74.510%
Backdoors, 1, 40, 27, 67.500%
DoS, 2, 395, 278, 70.380%
Exploits, 3, 2909, 2380, 81.815%
Fuzzers, 4, 2064, 613, 29.700%
Generic, 5, 426, 291, 68.310%
Normal, 6, 197557, 195667, 99.043%
Reconnaissance, 7, 1188, 583, 49.074%
Shellcode, 8, 151, 68, 45.033%
Worms, 9, 19, 15, 78.947%

Benign, 6, 197557, 195667, 99.043%
Attack, !6, 7243, 4293, 59.271%
Overall, ALL, 204800, 199960, 97.637%
