Class, Alias, Occurance, Right, Accuracy
Analysis, 0, 53, 23, 43.396
Backdoors, 1, 40, 30, 75.000
DoS, 2, 397, 329, 82.872
Exploits, 3, 2929, 2721, 92.899
Fuzzers, 4, 2085, 1124, 53.909
Generic, 5, 430, 383, 89.070
Normal, 6, 199158, 197711, 99.273
Reconnaissance, 7, 1198, 1066, 88.982
Shellcode, 8, 155, 128, 82.581
Worms, 9, 19, 19, 100.000
Benign, 6, 199158, 197711, 99.273%
Attack, !6, 7306, 5823, 79.702%
Overall, ALL, 206464, 203534, 98.581%

Samples, 206464
Benign, 96.46%
Attack, 3.54%
