Class, Alias, Occurance, Right, Accuracy
Analysis, 0, 52, 39, 75.000%
Backdoors, 1, 40, 29, 72.500%
DoS, 2, 395, 267, 67.595%
Exploits, 3, 2906, 1941, 66.793%
Fuzzers, 4, 2069, 895, 43.258%
Generic, 5, 423, 287, 67.849%
Normal, 6, 197555, 195788, 99.106%
Reconnaissance, 7, 1186, 655, 55.228%
Shellcode, 8, 155, 138, 89.032%
Worms, 9, 19, 17, 89.474%

Benign, 6, 197555, 195788, 99.106%
Attack, !6, 7245, 4268, 58.910%
Overall, ALL, 204800, 200056, 97.684%
