0, 0.116850
1, 0.041158
2, 0.037184
3, 0.035893
4, 0.034719
5, 0.033885
6, 0.033940
7, 0.033474
8, 0.033760
9, 0.033088
10, 0.033041
11, 0.033120
12, 0.032300
13, 0.031629
14, 0.031746
15, 0.032236
16, 0.031439
17, 0.031998
18, 0.031288
19, 0.031125
20, 0.030765
21, 0.030493
22, 0.030978
23, 0.030813
24, 0.030432
25, 0.030556
26, 0.030061
27, 0.029851
28, 0.030457
29, 0.030069
30, 0.030120
31, 0.029720
32, 0.029679
33, 0.029322
34, 0.029358
35, 0.034063
36, 0.030316
37, 0.029840
38, 0.029622
39, 0.029589
40, 0.028336
41, 0.027957
42, 0.027681
43, 0.027606
44, 0.028051
45, 0.027471
46, 0.027394
47, 0.027389
48, 0.027271
49, 0.027288
