Epochs Supervised, 600
Proxy task, NONE
Training percentage, 10.00 %
Specialized subset, 10_flows

Training metrics,
Best epoch, 587
Time to best epoch, 0h 53m

Performance metrics,
Accuracy, 40.524 %
Detection rate, 1.232 %
Precision, 0.894 %
Specificity, 53.806 %
F1-Measure, 1.036 %
False alarm rate, 99.106 %
Missed alarm rate, 98.768 %
