Class, #, Occurance, Right, NONE
Analysis, 0, 53, 40, 75.472%
Backdoors, 1, 40, 32, 80.000%
DoS, 2, 394, 300, 76.142%
Exploits, 3, 2898, 2351, 81.125%
Fuzzers, 4, 2068, 760, 36.750%
Generic, 5, 426, 331, 77.700%
Normal, 6, 197559, 195778, 99.098%
Reconnaissance, 7, 1189, 388, 32.632%
Shellcode, 8, 154, 68, 44.156%
Worms, 9, 19, 8, 42.105%

Benign, 6, 197559, 195778, 99.098%
Attack, !6, 7241, 4278, 59.080%
Overall, ALL, 204800, 200056, 97.684%
