Class, Alias, Occurance, Right, Accuracy
Botnet ARES, 0, 76, 76, 100.000%
FTP-Patator, 1, 26, 15, 57.692%
SSH-Patator, 2, 254, 253, 99.606%
DDoS LOIT, 3, 9360, 9360, 100.000%
DoS GoldenEye, 4, 741, 740, 99.865%
DoS Hulk, 5, 23191, 23189, 99.991%
DoS Slowhttptest, 6, 421, 421, 100.000%
DoS slowloris, 7, 385, 385, 100.000%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7585, 7147, 94.225%
Benign, 10, 171389, 171172, 99.873%
PortScan - Firewall off, 11, 15844, 15741, 99.350%
PortScan - Firewall on, 12, 37, 33, 89.189%
SQL Injection, 13, 1, 1, 100.000%
XSS, 14, 66, 56, 84.848%

Benign, 10, 171389, 171172, 99.873%
Attack, !10, 57987, 57417, 99.017%
Overall, ALL, 229376, 228589, 99.657%
