Class, #, Occurance, Right, NONE
Analysis, 0, 53, 12, 22.642%
Backdoors, 1, 40, 35, 87.500%
DoS, 2, 395, 346, 87.595%
Exploits, 3, 2911, 2718, 93.370%
Fuzzers, 4, 2071, 958, 46.258%
Generic, 5, 428, 399, 93.224%
Normal, 6, 197544, 196471, 99.457%
Reconnaissance, 7, 1184, 1119, 94.510%
Shellcode, 8, 155, 149, 96.129%
Worms, 9, 19, 18, 94.737%

Benign, 6, 197544, 196471, 99.457%
Attack, !6, 7256, 5754, 79.300%
Overall, ALL, 204800, 202225, 98.743%
