Class, Alias, Occurance, Right, Accuracy
Analysis, 0, 53, 52, 98.113
Backdoors, 1, 40, 39, 97.500
DoS, 2, 397, 366, 92.191
Exploits, 3, 2929, 2797, 95.493
Fuzzers, 4, 2085, 1664, 79.808
Generic, 5, 430, 394, 91.628
Normal, 6, 199158, 194780, 97.802
Reconnaissance, 7, 1198, 689, 57.513
Shellcode, 8, 155, 68, 43.871
Worms, 9, 19, 16, 84.211
Benign, 6, 199158, 194780, 97.802%
Attack, !6, 7306, 6085, 83.288%
Overall, ALL, 206464, 200865, 97.288%

Samples, 206464
Benign, 96.46%
Attack, 3.54%
