,,3.1.1,3.1.2,3.1.3,3.1.4
Class, #, NONE, MASK, OBSCURE, AUTO
Botnet:ARES, 0, 93.333%, 94.595%, 3.947%, 1.316%
Brute Force:FTP-Patator, 1, 44.000%, 3.846%, 0.000%, 3.846%
Brute Force:SSH-Patator, 2, 96.850%, 94.902%, 0.000%, 92.126%
DDoS:LOIT, 3, 99.915%, 99.968%, 99.947%, 99.979%
DoS / DDoS:DoS GoldenEye, 4, 99.325%, 98.654%, 91.757%, 98.922%
DoS / DDoS:DoS Hulk, 5, 99.996%, 99.991%, 99.909%, 99.991%
DoS / DDoS:DoS Slowhttptest, 6, 98.804%, 98.801%, 95.943%, 98.558%
DoS / DDoS:DoS slowloris, 7, 99.742%, 97.172%, 96.382%, 99.741%
DoS / DDoS:Heartbleed, 8, 100.000%, 100.000%, 100.000%, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 93.066%, 93.237%, 91.982%, 92.937%
Normal, 10, 99.743%, 99.690%, 98.994%, 99.613%
PortScan:PortScan - Firewall off, 11, 98.889%, 98.980%, 99.704%, 98.946%
PortScan:PortScan - Firewall on, 12, 73.684%, 81.579%, 76.316%, 86.486%
Web Attack:Sql Injection, 13, 0.000%, 100.000%, 0.000%, 100.000%
Web Attack:XSS, 14, 0.000%, 0.000%, 0.000%, 0.000%

Benign, 10, 99.743%, 99.690%, 98.994%, 99.613%
Attack, !10, 98.576%, 98.584%, 97.927%, 98.427%
Overall, ALL, 99.448%, 99.411%, 98.724%, 99.313%
